2024-03-09 13:30:18,967 - [INFO] - mysql_service.py[14]: 采集MySQL数据的程序启动.....
2024-03-09 13:30:18,974 - [INFO] - mysql_util.py[28]: 构建完成到localhost:3306的数据库连接...
2024-03-09 13:30:18,991 - [INFO] - mysql_util.py[28]: 构建完成到localhost:3306的数据库连接...
2024-03-09 13:30:19,007 - [INFO] - mysql_util.py[28]: 构建完成到localhost:3306的数据库连接...
2024-03-09 13:30:19,009 - [INFO] - mysql_util.py[48]: 执行查询的SQL语句完成，查询的结果有2条，执行的SQL语句是:show tables
2024-03-09 13:30:19,010 - [INFO] - mysql_util.py[48]: 执行查询的SQL语句完成，查询的结果有2条，执行的SQL语句是:show tables
2024-03-09 13:30:19,065 - [INFO] - mysql_util.py[116]: 在数据库: retail中创建了表: barcode完成。建表语句是: CREATE TABLE barcode(
        `code` varchar(50) PRIMARY KEY COMMENT '商品条码',
        `name` varchar(200) DEFAULT '' COMMENT '商品名称',
        `spec` varchar(200) DEFAULT '' COMMENT '商品规格',
        `trademark` varchar(100) DEFAULT '' COMMENT '商品商标',
        `addr` varchar(200) DEFAULT '' COMMENT '商品产地',
        `units` varchar(50) DEFAULT '' COMMENT '商品单位(个、杯、箱、等)',
        `factory_name` varchar(200) DEFAULT '' COMMENT '生产厂家',
        `trade_price` DECIMAL(50, 5) DEFAULT 0.0 COMMENT '贸易价格(指导进价)',
        `retail_price` DECIMAL(50, 5) DEFAULT 0.0 COMMENT '零售价格(建议卖价)',
        `update_at` timestamp NULL DEFAULT CURRENT_TIMESTAMP ON UPDATE CURRENT_TIMESTAMP COMMENT '更新时间',
        `wholeunit` varchar(50) DEFAULT NULL COMMENT '大包装单位',
        `wholenum` int(11) DEFAULT NULL COMMENT '大包装内装数量',
        `img` varchar(500) DEFAULT NULL COMMENT '商品图片',
        `src` varchar(20) DEFAULT NULL COMMENT '源信息', 
        INDEX (update_at)
)
2024-03-09 13:30:32,783 - [INFO] - mysql_service.py[158]: 从数据源:source_data库，读取表: sys_barcode,当前写入目标表：barcode数据有:25000行
2024-03-09 13:30:32,942 - [INFO] - mysql_service.py[158]: 从数据源:source_data库，读取表: sys_barcode,当前写入目标表：barcode数据有:26000行
2024-03-09 13:30:33,101 - [INFO] - mysql_service.py[158]: 从数据源:source_data库，读取表: sys_barcode,当前写入目标表：barcode数据有:27000行
2024-03-09 13:30:33,257 - [INFO] - mysql_service.py[158]: 从数据源:source_data库，读取表: sys_barcode,当前写入目标表：barcode数据有:28000行
2024-03-09 13:30:33,421 - [INFO] - mysql_service.py[158]: 从数据源:source_data库，读取表: sys_barcode,当前写入目标表：barcode数据有:29000行
2024-03-09 13:30:33,583 - [INFO] - mysql_service.py[158]: 从数据源:source_data库，读取表: sys_barcode,当前写入目标表：barcode数据有:30000行
2024-03-09 13:30:33,756 - [INFO] - mysql_service.py[158]: 从数据源:source_data库，读取表: sys_barcode,当前写入目标表：barcode数据有:31000行
2024-03-09 13:30:33,924 - [INFO] - mysql_service.py[158]: 从数据源:source_data库，读取表: sys_barcode,当前写入目标表：barcode数据有:32000行
2024-03-09 13:30:34,085 - [INFO] - mysql_service.py[158]: 从数据源:source_data库，读取表: sys_barcode,当前写入目标表：barcode数据有:33000行
2024-03-09 13:30:34,250 - [INFO] - mysql_service.py[158]: 从数据源:source_data库，读取表: sys_barcode,当前写入目标表：barcode数据有:34000行
2024-03-09 13:30:34,412 - [INFO] - mysql_service.py[158]: 从数据源:source_data库，读取表: sys_barcode,当前写入目标表：barcode数据有:35000行
2024-03-09 13:30:34,583 - [INFO] - mysql_service.py[158]: 从数据源:source_data库，读取表: sys_barcode,当前写入目标表：barcode数据有:36000行
2024-03-09 13:30:34,739 - [INFO] - mysql_service.py[158]: 从数据源:source_data库，读取表: sys_barcode,当前写入目标表：barcode数据有:37000行
2024-03-09 13:30:34,897 - [INFO] - mysql_service.py[158]: 从数据源:source_data库，读取表: sys_barcode,当前写入目标表：barcode数据有:38000行
2024-03-09 13:30:35,060 - [INFO] - mysql_service.py[158]: 从数据源:source_data库，读取表: sys_barcode,当前写入目标表：barcode数据有:39000行
2024-03-09 13:30:35,229 - [INFO] - mysql_service.py[158]: 从数据源:source_data库，读取表: sys_barcode,当前写入目标表：barcode数据有:40000行
2024-03-09 13:30:35,390 - [INFO] - mysql_service.py[158]: 从数据源:source_data库，读取表: sys_barcode,当前写入目标表：barcode数据有:41000行
2024-03-09 13:30:35,555 - [INFO] - mysql_service.py[158]: 从数据源:source_data库，读取表: sys_barcode,当前写入目标表：barcode数据有:42000行
2024-03-09 13:30:35,713 - [INFO] - mysql_service.py[158]: 从数据源:source_data库，读取表: sys_barcode,当前写入目标表：barcode数据有:43000行
2024-03-09 13:30:35,871 - [INFO] - mysql_service.py[158]: 从数据源:source_data库，读取表: sys_barcode,当前写入目标表：barcode数据有:44000行
2024-03-09 13:30:36,027 - [INFO] - mysql_service.py[158]: 从数据源:source_data库，读取表: sys_barcode,当前写入目标表：barcode数据有:45000行
2024-03-09 13:30:36,184 - [INFO] - mysql_service.py[158]: 从数据源:source_data库，读取表: sys_barcode,当前写入目标表：barcode数据有:46000行
2024-03-09 13:30:36,343 - [INFO] - mysql_service.py[158]: 从数据源:source_data库，读取表: sys_barcode,当前写入目标表：barcode数据有:47000行
2024-03-09 13:30:36,520 - [INFO] - mysql_service.py[158]: 从数据源:source_data库，读取表: sys_barcode,当前写入目标表：barcode数据有:48000行
2024-03-09 13:30:36,693 - [INFO] - mysql_service.py[158]: 从数据源:source_data库，读取表: sys_barcode,当前写入目标表：barcode数据有:49000行
2024-03-09 13:30:36,855 - [INFO] - mysql_service.py[158]: 从数据源:source_data库，读取表: sys_barcode,当前写入目标表：barcode数据有:50000行
2024-03-09 13:30:37,011 - [INFO] - mysql_service.py[158]: 从数据源:source_data库，读取表: sys_barcode,当前写入目标表：barcode数据有:51000行
2024-03-09 13:30:37,167 - [INFO] - mysql_service.py[158]: 从数据源:source_data库，读取表: sys_barcode,当前写入目标表：barcode数据有:52000行
2024-03-09 13:30:37,324 - [INFO] - mysql_service.py[158]: 从数据源:source_data库，读取表: sys_barcode,当前写入目标表：barcode数据有:53000行
2024-03-09 13:30:37,482 - [INFO] - mysql_service.py[158]: 从数据源:source_data库，读取表: sys_barcode,当前写入目标表：barcode数据有:54000行
2024-03-09 13:30:37,648 - [INFO] - mysql_service.py[158]: 从数据源:source_data库，读取表: sys_barcode,当前写入目标表：barcode数据有:55000行
2024-03-09 13:30:37,813 - [INFO] - mysql_service.py[158]: 从数据源:source_data库，读取表: sys_barcode,当前写入目标表：barcode数据有:56000行
2024-03-09 13:30:37,980 - [INFO] - mysql_service.py[158]: 从数据源:source_data库，读取表: sys_barcode,当前写入目标表：barcode数据有:57000行
2024-03-09 13:30:38,143 - [INFO] - mysql_service.py[158]: 从数据源:source_data库，读取表: sys_barcode,当前写入目标表：barcode数据有:58000行
2024-03-09 13:30:38,300 - [INFO] - mysql_service.py[158]: 从数据源:source_data库，读取表: sys_barcode,当前写入目标表：barcode数据有:59000行
2024-03-09 13:30:38,465 - [INFO] - mysql_service.py[158]: 从数据源:source_data库，读取表: sys_barcode,当前写入目标表：barcode数据有:60000行
2024-03-09 13:30:38,626 - [INFO] - mysql_service.py[158]: 从数据源:source_data库，读取表: sys_barcode,当前写入目标表：barcode数据有:61000行
2024-03-09 13:30:38,792 - [INFO] - mysql_service.py[158]: 从数据源:source_data库，读取表: sys_barcode,当前写入目标表：barcode数据有:62000行
2024-03-09 13:30:38,958 - [INFO] - mysql_service.py[158]: 从数据源:source_data库，读取表: sys_barcode,当前写入目标表：barcode数据有:63000行
2024-03-09 13:30:39,120 - [INFO] - mysql_service.py[158]: 从数据源:source_data库，读取表: sys_barcode,当前写入目标表：barcode数据有:64000行
2024-03-09 13:30:39,282 - [INFO] - mysql_service.py[158]: 从数据源:source_data库，读取表: sys_barcode,当前写入目标表：barcode数据有:65000行
2024-03-09 13:30:39,446 - [INFO] - mysql_service.py[158]: 从数据源:source_data库，读取表: sys_barcode,当前写入目标表：barcode数据有:66000行
2024-03-09 13:30:39,611 - [INFO] - mysql_service.py[158]: 从数据源:source_data库，读取表: sys_barcode,当前写入目标表：barcode数据有:67000行
2024-03-09 13:30:39,775 - [INFO] - mysql_service.py[158]: 从数据源:source_data库，读取表: sys_barcode,当前写入目标表：barcode数据有:68000行
2024-03-09 13:30:39,938 - [INFO] - mysql_service.py[158]: 从数据源:source_data库，读取表: sys_barcode,当前写入目标表：barcode数据有:69000行
2024-03-09 13:30:40,102 - [INFO] - mysql_service.py[158]: 从数据源:source_data库，读取表: sys_barcode,当前写入目标表：barcode数据有:70000行
2024-03-09 13:30:40,264 - [INFO] - mysql_service.py[158]: 从数据源:source_data库，读取表: sys_barcode,当前写入目标表：barcode数据有:71000行
2024-03-09 13:30:40,426 - [INFO] - mysql_service.py[158]: 从数据源:source_data库，读取表: sys_barcode,当前写入目标表：barcode数据有:72000行
2024-03-09 13:30:40,586 - [INFO] - mysql_service.py[158]: 从数据源:source_data库，读取表: sys_barcode,当前写入目标表：barcode数据有:73000行
2024-03-09 13:30:40,754 - [INFO] - mysql_service.py[158]: 从数据源:source_data库，读取表: sys_barcode,当前写入目标表：barcode数据有:74000行
2024-03-09 13:30:40,918 - [INFO] - mysql_service.py[158]: 从数据源:source_data库，读取表: sys_barcode,当前写入目标表：barcode数据有:75000行
2024-03-09 13:30:41,079 - [INFO] - mysql_service.py[158]: 从数据源:source_data库，读取表: sys_barcode,当前写入目标表：barcode数据有:76000行
2024-03-09 13:30:41,242 - [INFO] - mysql_service.py[158]: 从数据源:source_data库，读取表: sys_barcode,当前写入目标表：barcode数据有:77000行
2024-03-09 13:30:41,404 - [INFO] - mysql_service.py[158]: 从数据源:source_data库，读取表: sys_barcode,当前写入目标表：barcode数据有:78000行
2024-03-09 13:30:41,566 - [INFO] - mysql_service.py[158]: 从数据源:source_data库，读取表: sys_barcode,当前写入目标表：barcode数据有:79000行
2024-03-09 13:30:41,730 - [INFO] - mysql_service.py[158]: 从数据源:source_data库，读取表: sys_barcode,当前写入目标表：barcode数据有:80000行
2024-03-09 13:30:41,892 - [INFO] - mysql_service.py[158]: 从数据源:source_data库，读取表: sys_barcode,当前写入目标表：barcode数据有:81000行
2024-03-09 13:30:42,058 - [INFO] - mysql_service.py[158]: 从数据源:source_data库，读取表: sys_barcode,当前写入目标表：barcode数据有:82000行
2024-03-09 13:30:42,218 - [INFO] - mysql_service.py[158]: 从数据源:source_data库，读取表: sys_barcode,当前写入目标表：barcode数据有:83000行
2024-03-09 13:30:42,382 - [INFO] - mysql_service.py[158]: 从数据源:source_data库，读取表: sys_barcode,当前写入目标表：barcode数据有:84000行
2024-03-09 13:30:42,544 - [INFO] - mysql_service.py[158]: 从数据源:source_data库，读取表: sys_barcode,当前写入目标表：barcode数据有:85000行
2024-03-09 13:30:42,705 - [INFO] - mysql_service.py[158]: 从数据源:source_data库，读取表: sys_barcode,当前写入目标表：barcode数据有:86000行
2024-03-09 13:30:42,868 - [INFO] - mysql_service.py[158]: 从数据源:source_data库，读取表: sys_barcode,当前写入目标表：barcode数据有:87000行
2024-03-09 13:30:43,032 - [INFO] - mysql_service.py[158]: 从数据源:source_data库，读取表: sys_barcode,当前写入目标表：barcode数据有:88000行
2024-03-09 13:30:43,194 - [INFO] - mysql_service.py[158]: 从数据源:source_data库，读取表: sys_barcode,当前写入目标表：barcode数据有:89000行
2024-03-09 13:30:43,355 - [INFO] - mysql_service.py[158]: 从数据源:source_data库，读取表: sys_barcode,当前写入目标表：barcode数据有:90000行
2024-03-09 13:30:43,516 - [INFO] - mysql_service.py[158]: 从数据源:source_data库，读取表: sys_barcode,当前写入目标表：barcode数据有:91000行
2024-03-09 13:30:43,684 - [INFO] - mysql_service.py[158]: 从数据源:source_data库，读取表: sys_barcode,当前写入目标表：barcode数据有:92000行
2024-03-09 13:30:43,849 - [INFO] - mysql_service.py[158]: 从数据源:source_data库，读取表: sys_barcode,当前写入目标表：barcode数据有:93000行
2024-03-09 13:30:44,011 - [INFO] - mysql_service.py[158]: 从数据源:source_data库，读取表: sys_barcode,当前写入目标表：barcode数据有:94000行
2024-03-09 13:30:44,176 - [INFO] - mysql_service.py[158]: 从数据源:source_data库，读取表: sys_barcode,当前写入目标表：barcode数据有:95000行
2024-03-09 13:30:44,344 - [INFO] - mysql_service.py[158]: 从数据源:source_data库，读取表: sys_barcode,当前写入目标表：barcode数据有:96000行
2024-03-09 13:30:44,505 - [INFO] - mysql_service.py[158]: 从数据源:source_data库，读取表: sys_barcode,当前写入目标表：barcode数据有:97000行
2024-03-09 13:30:44,669 - [INFO] - mysql_service.py[158]: 从数据源:source_data库，读取表: sys_barcode,当前写入目标表：barcode数据有:98000行
